Date;Open;High;Low;Close;Volume;Adj Close;lnret
9/06/03;13926;13979;13810;13846;0;13846;-0,005545767
10/06/03;13869;14072;13808;13894;0;13894;0,00346071
11/06/03;13898;13930;13721;13877;0;13877;-0,001224299
12/06/03;13901;14007;13738;13983;0;13983;0,007609513
13/06/03;13980;14047;13677;13734;0;13734;-0,017967796
16/06/03;13737;13963;13697;13833;0;13833;0,007182532
17/06/03;13843;13973;13732;13777;0;13777;-0,004056507
18/06/03;13790;13890;13372;13511;0;13511;-0,019496367
20/06/03;13514;13514;13105;13131;0;13131;-0,028528322
23/06/03;13132;13273;12895;12991;0;12991;-0,010719037
24/06/03;12993;13204;12993;13108;0;13108;0,008965921
25/06/03;13110;13286;13015;13026;0;13026;-0,006275371
26/06/03;13031;13237;13030;13112;0;13112;0,006580481
27/06/03;13112;13193;12976;13024;0;13024;-0,006734032
30/06/03;13027;13066;12930;12973;0;12973;-0,003923535
1/07/03;12967;13291;12893;13291;0;13291;0,02421684
2/07/03;13292;13376;13240;13310;0;13310;0,001428518
3/07/03;13308;13309;13134;13134;0;13134;-0,013311345
4/07/03;13135;13292;13067;13281;0;13281;0,011130155
7/07/03;13274;13444;13273;13402;0;13402;0,009069507
8/07/03;13401;13619;13339;13619;0;13619;0,016061927
10/07/03;13622;13622;13407;13501;0;13501;-0,00870212
11/07/03;13498;13522;13287;13321;0;13321;-0,013422019
14/07/03;13322;13635;13322;13588;0;13588;0,019845313
15/07/03;13593;13736;13568;13614;0;13614;0,001911625
16/07/03;13613;13633;13435;13487;0;13487;-0,009372416
17/07/03;13487;13636;13360;13622;0;13622;0,009959874
18/07/03;13622;13809;13622;13794;0;13794;0,012547582
21/07/03;13794;13859;13676;13676;0;13676;-0,008591243
22/07/03;13676;13867;13671;13835;0;13835;0,011559141
23/07/03;13852;13942;13755;13799;0;13799;-0,002605487
24/07/03;13799;13947;13755;13761;0;13761;-0,002757621
25/07/03;13761;13868;13661;13750;0;13750;-0,00079968
28/07/03;13752;13783;13605;13643;0;13643;-0,007812255
29/07/03;13652;13704;13577;13623;0;13623;-0,001467029
30/07/03;13623;13698;13453;13475;0;13475;-0,010923424
31/07/03;13475;13615;13475;13572;0;13572;0,00717273
